cost_key,technology,year,base_year,capex,capex_unit,nominal_basis,discount_rate,lifetime_years,fom_fraction,capital_cost,capital_cost_unit,marginal_cost,marginal_cost_unit,efficiency,max_hours,efficiency_store,efficiency_dispatch,standing_loss,co2_emissions,annual_change,capex_annual_change,capital_cost_annual_change,marginal_cost_annual_change,co2_emissions_annual_change,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,source,source_url,fx_rate_usd_per_eur,fx_source_url,notes
gas_peaker_auckland_generic_ocgt_peaker_4_southdown,gas_peaker,2040,2040,,,MW_e generator capacity,,,,113801.673719,NZD/MW-year,279.894103,NZD/MWh_e,0.306383,,,,,0.659306,,,,,,5.418526,2.650366,11750,13.192934,134.493094,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic OCGT peaker: 4 (Southdown); status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=13.428522; overnight_CAPEX_NZD_per_MW=1344930.937476.
gas_peaker_auckland_generic_ocgt_peaker_4_southdown,gas_peaker,2050,2050,,,MW_e generator capacity,,,,113801.673719,NZD/MW-year,317.999353,NZD/MWh_e,0.306383,,,,,0.659306,,,,,,5.418526,2.650366,11750,13.192934,134.493094,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic OCGT peaker: 4 (Southdown); status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=13.428522; overnight_CAPEX_NZD_per_MW=1344930.937476.
gas_peaker_auckland_generic_ocgt_peaker_7_otahuhu,gas_peaker,2025,2025,,,MW_e generator capacity,,,,113801.673719,NZD/MW-year,259.270575,NZD/MWh_e,0.306383,,,,,0.659306,,,,,,5.418526,2.650366,11750,13.192934,134.493094,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic OCGT peaker: 7 (Otahuhu); status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=13.428522; overnight_CAPEX_NZD_per_MW=1344930.937476.
gas_peaker_auckland_generic_ocgt_peaker_7_otahuhu,gas_peaker,2030,2030,,,MW_e generator capacity,,,,113801.673719,NZD/MW-year,273.149322,NZD/MWh_e,0.306383,,,,,0.659306,,,,,,5.418526,2.650366,11750,13.192934,134.493094,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic OCGT peaker: 7 (Otahuhu); status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=13.428522; overnight_CAPEX_NZD_per_MW=1344930.937476.
gas_peaker_auckland_generic_ocgt_peaker_7_otahuhu,gas_peaker,2040,2040,,,MW_e generator capacity,,,,113801.673719,NZD/MW-year,279.894103,NZD/MWh_e,0.306383,,,,,0.659306,,,,,,5.418526,2.650366,11750,13.192934,134.493094,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic OCGT peaker: 7 (Otahuhu); status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=13.428522; overnight_CAPEX_NZD_per_MW=1344930.937476.
gas_peaker_auckland_generic_ocgt_peaker_7_otahuhu,gas_peaker,2050,2050,,,MW_e generator capacity,,,,113801.673719,NZD/MW-year,317.999353,NZD/MWh_e,0.306383,,,,,0.659306,,,,,,5.418526,2.650366,11750,13.192934,134.493094,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic OCGT peaker: 7 (Otahuhu); status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=13.428522; overnight_CAPEX_NZD_per_MW=1344930.937476.
other_cogeneration_auckland_glenbrook_cogeneration_power_plant,other_cogeneration,2025,2025,,,MW_e generator capacity,,,,0.000000,NZD/MW-year,15.098591,NZD/MWh_e,1.000000,,,,,0.056111,,,,,,96.591125,0.000000,1000,,,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Glenbrook cogeneration power plant; status=Current; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=11.308229.
other_cogeneration_auckland_glenbrook_cogeneration_power_plant,other_cogeneration,2030,2030,,,MW_e generator capacity,,,,0.000000,NZD/MW-year,15.115761,NZD/MWh_e,1.000000,,,,,0.056111,,,,,,96.591125,0.000000,1000,,,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Glenbrook cogeneration power plant; status=Current; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=11.308229.
other_cogeneration_auckland_glenbrook_cogeneration_power_plant,other_cogeneration,2040,2040,,,MW_e generator capacity,,,,0.000000,NZD/MW-year,14.113785,NZD/MWh_e,1.000000,,,,,0.056111,,,,,,96.591125,0.000000,1000,,,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Glenbrook cogeneration power plant; status=Current; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=11.308229.
other_cogeneration_auckland_glenbrook_cogeneration_power_plant,other_cogeneration,2050,2050,,,MW_e generator capacity,,,,0.000000,NZD/MW-year,14.113785,NZD/MWh_e,1.000000,,,,,0.056111,,,,,,96.591125,0.000000,1000,,,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Glenbrook cogeneration power plant; status=Current; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=11.308229.
solar_auckland_generic_solar_101_200mw_60,solar,2025,2025,,,MW_e generator capacity,,,,179772.735021,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,73.910000,271.385103,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic solar (101-200MW): 60; status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1938465.018385.
solar_auckland_generic_solar_101_200mw_60,solar,2030,2030,,,MW_e generator capacity,,,,179772.735021,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,73.910000,271.385103,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic solar (101-200MW): 60; status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1938465.018385.
solar_auckland_generic_solar_101_200mw_60,solar,2040,2040,,,MW_e generator capacity,,,,179772.735021,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,73.910000,271.385103,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic solar (101-200MW): 60; status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1938465.018385.
solar_auckland_generic_solar_101_200mw_60,solar,2050,2050,,,MW_e generator capacity,,,,179772.735021,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,73.910000,271.385103,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic solar (101-200MW): 60; status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1938465.018385.
solar_auckland_helensville_solar_farm,solar,2025,2025,,,MW_e generator capacity,,,,148920.385861,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,17.664431,82.447698,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Helensville solar farm; status=Applied for consent; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1555616.947048.
solar_auckland_helensville_solar_farm,solar,2030,2030,,,MW_e generator capacity,,,,148920.385861,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,17.664431,82.447698,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Helensville solar farm; status=Applied for consent; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1555616.947048.
solar_auckland_helensville_solar_farm,solar,2040,2040,,,MW_e generator capacity,,,,148920.385861,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,17.664431,82.447698,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Helensville solar farm; status=Applied for consent; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1555616.947048.
solar_auckland_helensville_solar_farm,solar,2050,2050,,,MW_e generator capacity,,,,148920.385861,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,17.664431,82.447698,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Helensville solar farm; status=Applied for consent; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1555616.947048.
solar_auckland_kaipara_solar_farm,solar,2025,2025,,,MW_e generator capacity,,,,157626.355782,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,34.570000,116.455478,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Kaipara solar farm; status=Announced; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1663649.686335.
solar_auckland_kaipara_solar_farm,solar,2030,2030,,,MW_e generator capacity,,,,157626.355782,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,34.570000,116.455478,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Kaipara solar farm; status=Announced; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1663649.686335.
solar_auckland_kaipara_solar_farm,solar,2040,2040,,,MW_e generator capacity,,,,157626.355782,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,34.570000,116.455478,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Kaipara solar farm; status=Announced; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1663649.686335.
solar_auckland_kaipara_solar_farm,solar,2050,2050,,,MW_e generator capacity,,,,157626.355782,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,34.570000,116.455478,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Kaipara solar farm; status=Announced; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1663649.686335.
solar_auckland_lodestone_whitianga,solar,2025,2025,,,MW_e generator capacity,,,,141569.182749,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,14.311460,45.396263,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Lodestone Whitianga; status=Fully consented; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1464395.564886.
solar_auckland_lodestone_whitianga,solar,2030,2030,,,MW_e generator capacity,,,,141569.182749,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,14.311460,45.396263,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Lodestone Whitianga; status=Fully consented; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1464395.564886.
solar_auckland_lodestone_whitianga,solar,2040,2040,,,MW_e generator capacity,,,,141569.182749,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,14.311460,45.396263,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Lodestone Whitianga; status=Fully consented; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1464395.564886.
solar_auckland_lodestone_whitianga,solar,2050,2050,,,MW_e generator capacity,,,,141569.182749,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,23.558811,0.000000,3600,14.311460,45.396263,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Lodestone Whitianga; status=Fully consented; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=1464395.564886.
wind_auckland_generic_wind_no_26,wind,2025,2025,,,MW_e generator capacity,,,,270487.540450,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,51.711590,0.000000,3600,56.364455,271.479978,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic Wind No. 26; status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=2714799.781181.
wind_auckland_generic_wind_no_26,wind,2030,2030,,,MW_e generator capacity,,,,270487.540450,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,51.711590,0.000000,3600,56.364455,271.479978,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic Wind No. 26; status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=2714799.781181.
wind_auckland_generic_wind_no_26,wind,2040,2040,,,MW_e generator capacity,,,,270487.540450,NZD/MW-year,0.000000,NZD/MWh_e,1.000000,,,,,0.000000,,,,,,51.711590,0.000000,3600,56.364455,271.479978,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic Wind No. 26; status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=0.000000; overnight_CAPEX_NZD_per_MW=2714799.781181.
